"","index","starts_x","starts_y","index_start","ends_x","ends_y","index_end"
"1245",1245,402920.584961445,4722336.20014852,14,376340.989447515,4675627.32412051,101
"1246",1246,402920.584961445,4722336.20014852,14,376541.278681631,4674647.32859139,100
"1247",1247,402920.584961445,4722336.20014852,14,376681.536735901,4720389.4935797,150
"1248",1248,402920.584961445,4722336.20014852,14,376741.567915748,4673667.33306228,99
"1249",1249,402920.584961445,4722336.20014852,14,376916.911942848,4721355.86076852,151
"1250",1250,402920.584961445,4722336.20014852,14,376918.911395806,4722355.30532974,152
"1251",1251,402920.584961445,4722336.20014852,14,376941.857149864,4672687.33753316,98
"1252",1252,402920.584961445,4722336.20014852,14,377000.06611637,4723257.11112627,153
"1253",1253,402920.584961445,4722336.20014852,14,377142.14638398,4671707.34200404,97
"1254",1254,402920.584961445,4722336.20014852,14,377342.435618097,4670727.34647493,96
"1255",1255,402920.584961445,4722336.20014852,14,377542.724852214,4669747.35094581,95
"1256",1256,402920.584961445,4722336.20014852,14,377743.01408633,4668767.35541669,94
"1257",1257,402920.584961445,4722336.20014852,14,377885.021343393,4723723.3313109,154
"1258",1258,402920.584961445,4722336.20014852,14,377943.303320447,4667787.35988757,93
"1259",1259,402920.584961445,4722336.20014852,14,378143.592554563,4666807.36435846,92
"1260",1260,402920.584961445,4722336.20014852,14,378343.88178868,4665827.36882934,91
"1261",1261,402920.584961445,4722336.20014852,14,378769.976570416,4724189.55149553,155
"1262",1262,402920.584961445,4722336.20014852,14,378814.266512756,4665142.36416755,90
"1263",1263,402920.584961445,4722336.20014852,14,379654.931797439,4724655.77168016,156
"1264",1264,402920.584961445,4722336.20014852,14,379808.078874725,4665029.03277919,89
"1265",1265,402920.584961445,4722336.20014852,14,380539.887024462,4725121.99186479,157
"1266",1266,402920.584961445,4722336.20014852,14,380801.891236695,4664915.70139082,88
"1267",1267,402920.584961445,4722336.20014852,14,381424.842251486,4725588.21204942,158
"1268",1268,402920.584961445,4722336.20014852,14,381795.703598664,4664802.37000246,87
"1269",1269,402920.584961445,4722336.20014852,14,382309.797478509,4726054.43223405,159
"1270",1270,402920.584961445,4722336.20014852,14,382789.515960634,4664689.0386141,86
"1271",1271,402920.584961445,4722336.20014852,14,383194.752705532,4726520.65241868,160
"1272",1272,402920.584961445,4722336.20014852,14,383783.328322604,4664575.70722574,85
"1273",1273,402920.584961445,4722336.20014852,14,384079.707932555,4726986.87260331,161
"1274",1274,402920.584961445,4722336.20014852,14,384777.140684573,4664462.37583737,84
"1275",1275,402920.584961445,4722336.20014852,14,384964.663159578,4727453.09278794,162
"1276",1276,402920.584961445,4722336.20014852,14,385770.953046543,4664349.04444901,83
"1277",1277,402920.584961445,4722336.20014852,14,385849.618386602,4727919.31297257,163
"1278",1278,402920.584961445,4722336.20014852,14,386734.573613625,4728385.5331572,164
"1279",1279,402920.584961445,4722336.20014852,14,386764.765408513,4664235.71306065,82
"1280",1280,402920.584961445,4722336.20014852,14,387619.528840648,4728851.75334183,165
"1281",1281,402920.584961445,4722336.20014852,14,387758.577770482,4664122.38167229,81
"1282",1282,402920.584961445,4722336.20014852,14,388504.484067671,4729317.97352646,166
"1283",1283,402920.584961445,4722336.20014852,14,388752.390132452,4664009.05028392,80
"1284",1284,402920.584961445,4722336.20014852,14,389389.439294694,4729784.19371109,167
"1285",1285,402920.584961445,4722336.20014852,14,389746.202494421,4663895.71889556,79
"1286",1286,402920.584961445,4722336.20014852,14,390274.394521718,4730250.41389572,168
"1287",1287,402920.584961445,4722336.20014852,14,390740.014856391,4663782.3875072,78
"1288",1288,402920.584961445,4722336.20014852,14,391159.349748741,4730716.63408035,169
"1289",1289,403103.489059886,4721352.81156553,15,368930.287785204,4711887.15869783,138
"1290",1290,403103.489059886,4721352.81156553,15,369130.577019321,4710907.16316871,137
"1291",1291,403103.489059886,4721352.81156553,15,369330.866253437,4709927.1676396,136
"1292",1292,403103.489059886,4721352.81156553,15,369367.466271742,4712662.99613934,139
"1293",1293,403103.489059886,4721352.81156553,15,369531.155487554,4708947.17211048,135
"1294",1294,403103.489059886,4721352.81156553,15,369731.44472167,4707967.17658136,134
"1295",1295,403103.489059886,4721352.81156553,15,369931.733955787,4706987.18105225,133
"1296",1296,403103.489059886,4721352.81156553,15,369950.95875048,4713454.23086039,140
"1297",1297,403103.489059886,4721352.81156553,15,370132.023189903,4706007.18552313,132
"1298",1298,403103.489059886,4721352.81156553,15,370332.31242402,4705027.18999401,131
"1299",1299,403103.489059886,4721352.81156553,15,370529.622899058,4714268.03220298,141
"1300",1300,403103.489059886,4721352.81156553,15,370532.601658136,4704047.1944649,130
"1301",1301,403103.489059886,4721352.81156553,15,370732.890892253,4703067.19893578,129
"1302",1302,403103.489059886,4721352.81156553,15,370933.180126369,4702087.20340666,128
"1303",1303,403103.489059886,4721352.81156553,15,371133.469360486,4701107.20787754,127
"1304",1304,403103.489059886,4721352.81156553,15,371221.276730256,4714949.29200092,142
"1305",1305,403103.489059886,4721352.81156553,15,371333.758594602,4700127.21234843,126
"1306",1306,403103.489059886,4721352.81156553,15,371534.047828719,4699147.21681931,125
"1307",1307,403103.489059886,4721352.81156553,15,371734.337062835,4698167.22129019,124
"1308",1308,403103.489059886,4721352.81156553,15,371934.626296952,4697187.22576108,123
"1309",1309,403103.489059886,4721352.81156553,15,372134.915531068,4696207.23023196,122
"1310",1310,403103.489059886,4721352.81156553,15,372143.625363278,4715336.30623005,143
"1311",1311,403103.489059886,4721352.81156553,15,372335.204765185,4695227.23470284,121
"1312",1312,403103.489059886,4721352.81156553,15,372535.493999301,4694247.23917373,120
"1313",1313,403103.489059886,4721352.81156553,15,372735.783233418,4693267.24364461,119
"1314",1314,403103.489059886,4721352.81156553,15,372936.072467534,4692287.24811549,118
"1315",1315,403103.489059886,4721352.81156553,15,372994.111214269,4715856.40822564,144
"1316",1316,403103.489059886,4721352.81156553,15,373136.361701651,4691307.25258638,117
"1317",1317,403103.489059886,4721352.81156553,15,373336.650935767,4690327.25705726,116
"1318",1318,403103.489059886,4721352.81156553,15,373536.940169884,4689347.26152814,115
"1319",1319,403103.489059886,4721352.81156553,15,373737.229404,4688367.26599903,114
"1320",1320,403103.489059886,4721352.81156553,15,373820.180047789,4716420.37711663,145
"1321",1321,403103.489059886,4721352.81156553,15,373937.518638117,4687387.27046991,113
"1322",1322,403103.489059886,4721352.81156553,15,374137.807872233,4686407.27494079,112
"1323",1323,403103.489059886,4721352.81156553,15,374338.09710635,4685427.27941168,111
"1324",1324,403103.489059886,4721352.81156553,15,374538.386340466,4684447.28388256,110
